PHRASE,MEANING
call on,"use courage, reserve, nerve or strength to achieve something."
turn aside,refuse entry to somewhere.
rabbit hole,mentally go somewhere surreal or strange.
bang for the buck,more value for money.
get rid of,to remove something or someone.
pay lip service,to agree by word of mouth only.
two peas in a pod,practically identical in appearance.
fan the flames,make a bad situation even worse.
a hard nut to crack,a problem that is difficult to solve.
turn against,to change from supporting something to opposing it.
fight tooth and nail,to fight very fiercely.
Herculean task,a task requiring huge amounts of physical strength.
call of duty,something you must do or feel compelled to do.
knotty problem,difficult or complex problem.
when life gives you lemons,make the best out of a difficult situation.
topsy-turvy,with the top at the bottom.
goose egg,zero.
keep promise,be faithful to your word.
in light of,because of.
old school,old fashioned ideas or approach compared to current trends.
bite head off,overreact in an angry or harsh way.
prevention is better than cure,easier to stop problems than correct them later.
in the loop,to be aware of the information.
pipe dream,an impossibility.
fair and square,done according to the rules.
ahead of the curve,better than others.
does exactly what it says on the tin,someone or something is exactly as they seem.
home is where the heart is,a place you feel connected to emotionally.
sticky fingers,keep objects that don't belong to you.
apple pie order,neat and tidy in the arrangement.
on a tear,very active or suddenly active.
the smell of an oily rag,a slim or frugal amount  .
bring owls to Athens,something that is pointless.
anything but,by no means.
square peg in a round hole,a person who doesn't fit into societies norm.
hit or miss,something is arranged in a haphazard fashion.
silver lining,sadness or unpleasant things can have a positive side effect.
in the air,something like a mood that everybody can feel.
make light of,to treat something as if it isn't important.
through thick and thin,"under all conditions, no matter how challenging or difficult."
in no time,a very short period of time.
throw down the gauntlet,to accept a challenge.
way forward,the only way to succeed.
on edge,to feel tense or unable to relax.
a smooth sea never made a skilled sailor,a proverb that means easy situations can never improve you or make you better.
drain the swamp,rooting out the practice of corruption.
ride high,when someone is very successful.
at odds,to disagree about something.
under siege,to be under attack.
have no business,to do something that you should not be doing.
take heart,to stay confident and positive.
rake over the coals,to give someone a hard time for a mistake they supposedly did.
stand in a good stead,to be of advantage to someone.
smack dab,exactly.
get a life,to stop wasting a lot of time in useless or boring or trivial works.
throw under the bus,"to betray a partner, colleague or close friend for self-benefits."
cold sweat,the condition where extreme fear or nervousness causes a person to feel a chill along with moist skin or sweat.
on the horizon,an event that is most likely going to happen soon.
wild goose chase,wasting resource working on something that does not exist.
kick the can down the road,to avoid dealing with a problem.
pat on the back,to receive or express praise for a job well done.
heart touching,an event that makes you feel happy.
tick off,to make a mark next to items on a list that have been completed.
mull over,to take a long time to make a decision.
right away,to do something immediately.
turn out,to arrive at an event.
for a while,a short period of time.
bring up,"in the literal form, it means to take something to a higher place."
come out,to reveal something (often unintentionally).
turn over a new leaf,to alter your behaviour in a positive way.
get through,to make it to the end of a particularly arduous or stressful experience.
vim and vigor,full of energy and enthusiasm.
buy the farm,to die.
a fish out of water,being uncomfortable and restless.
bucket list,a list of achievements or experiences someone wants to have during their lifetime.
on the tip of my tongue,something like a name or word that you know it but cannot remember at a particular moment.
from the bottom of my heart,with sincere and deep feeling.
light years away,when something seems unlikely to happen.
you can lead a horse to water but you can't make him drink,we can offer good things to people but we can't force them to accept that.
lion's share,the biggest part of something.
knock out,knockout.
mad at,to be angry at a person or situation.
screw up,slang depicting that a mistake was made.
aftermath,the effects of something traumatic.
white lie,a harmless lie.
take for a ride,to trick somebody.
get to know,receiving the information.
green with envy,extremely jealous of another person.
pep talk,a motivational speech.
like a bat out of hell,very fast and crazily.
trouble shared is trouble halved,a trouble shared is a trouble halved.
all roads lead to Rome,all the routes are directed towards the center.
knock socks off,doing something which was never done before.
apples to oranges,the items that cannot be compared with each other.
seventh heaven,being glad.
heavy heart,attaining a state of grief.
lighten up,to take it easy.
crack up,go through an emotional breakdown.
troubled waters,a difficult phase of life.
live wire,an energetic and volatile person.
long run,in the long run.
Black Friday,a day of a financial disaster.
get the wrong end of the stick,to understand something in the wrong way.
get on nerves,tick someone off.
mind your own business,to look into your own matter.
good grief,occurrence of something shocking.
the lion's den,a place which is uncomfortable.
miles away,unaware of the current situation.
make a mountain out of a molehill,magnifying the content.
dead as a doornail,becoming obsolete.
dead in the water,unable to produce movement.
rule out,to exclude out something.
as a result,the outcome of something that you have done.
spend a fortune,spend a small fortune.
black day,it is a day on which something terrible has happened.
"six of one, half a dozen of the other",comparison between the two things which are identical.
out of business,out of operational conditions.
against the grain,a difficult path to be followed.
music to ears,something that is soothing to your ears.
apples to apples,having a fair comparison between the two things.
by chance,something which was not planned to happen.
take for granted,to underestimate the value of something or someone.
mind your own beeswax,do not interfere into someone else's matter.
walking on air,to be very happy (elated).
lean towards,to be interested in something.
chill pill,something that has a relaxing outcome.
bundle up,to dress warmly to protect oneself from the elements.
set off,to start a journey.
catch up,"to get to the same level, standard, or status as something or someone."
you're on,used to accept a challenge or bet.
put the brakes on,to stop or slow down an activity.
easy does it,"used to tell someone to go ahead with something with slowly, and carefully."
pie in the sky,used to portray or refer to something that is lovely to consider however is probably not going to happen.
Easter egg,a decorated or dyed egg usually given to children at easter.
out of the frying pan into the fire,to go from a bad to worse situation.
act of God,an occurrence of out of control natural forces in action.
toot one's own horn,blow one's own horn.
fast food,food that is tasty but has less or no nutritional value is referred to as fast food.
on a roll,making a lot of progress.
ward off,to prevent something from harming you.
drop by,an informal visit.
broken heart,break someone's heart.
blind as a bat,unconscious to something.
in a fog,in a great confusion.
dollars to donuts,an outcome that is almost assured is called as dollars to doughnuts.
fair-weather friend,used to refer a friend who is not reliable in difficult times.
under fire,being shot at.
first light,the time when the light begins to appear in the morning.
"once bitten, twice shy",a bad experience cause to believe caution.
kick the habit,to overcome an addiction especially of an addiction like drugs.
make ends meet,make sufficient money to survive on.
head above water,to succeed to survive in bad financial situations.
up and about,to get out of the bed actively after sleep.
free spirit,a person who freely lives a life of his own way.
keep the wolf from the door,to have sufficient money to prevent starvation or hunger.
so to speak,as it where.
stands to reason,to reach a logical conclusion.
up to no good,to have an evil plan.
zip it,to ask someone to shut up.
in vain,without success.
sleep tight,an affectionate way of wishing someone a good night's sleep.
on your mark,absolutely accurate.
too close to call,a margin that is too close to determine a winner.
the devil is beating his wife,raining whereas the sun is shining.
when hell freezes over,"impolite way of saying ""it will never happen""."
all that glitters is not gold,the shining outer look of something is not a consistent sign of its real character.
forty winks,"sleep for a while, mostly during the day."
Elvis has left the building,the show is ended and go home now.
famous last words,a comment or a prophecy that is expected to be proved incorrect.
sense of humour,the ability to enjoy funniness.
a stitch in time saves nine,do not wait to deal with a specific problem or you risk it getting much worse later on.
other half,"husband, wife, or partner of someone."
for a song,incredibly inexpensive.
not at all,"a polite response when someone says ""thank you"" - as a synonym for ""you're welcome""."
beat the heat,finding a way to stay cool when it is very hot outside.
make do,to cope with something even though the circumstances are not ideal.
leg it,an informal way of telling someone to run in order to evade capture.
snow under,to bury or cover something or somebody in the snow (literal meaning).
last long,existing or persevering for a significant amount of time.
next of kin,close relative.
fall from grace,"to lose status, respect or prestige."
go with the flow,to do what other people are doing in any particular situation.
neck and neck,extremely near one another.
under the radar,off the radar.
get your goat,irritate somebody.
piece of writing,"the work of a writer, anything expressed in letters of the alphabet (especially when considered from the point of view of style and effect)."
speak soon,talk to you soon.
piece of work,"a complex, tricky, or odd person."
stand out,extend beyond or above a surface.
road to recovery,the procedure of becoming healthy again.
slip of the tongue,a mistake in speech (or writing).
over and above,in addition to.
over and over again,again and again.
over and out,said when someone is finished talking.
prone to,having a tendency to something - usually awful or unfortunate.
get off,to leave a place in order to start a journey.
on the mend,to improve in health after an illness.
look forward,to eagerly await something.
like a hole in the head,to have absolutely no need for something.
snow job,an elaborate cover up of something.
in the nick of time,almost too late.
bump into,to meet someone by chance/accident.
I could eat a horse,to be extremely hungry.
low hanging fruit,a goal that can be easily reached.
double take,to be so surprised at something that you have to take another look (american meaning).
the devil is in the detail,it means that when you do not concentrate on the details of something you may run into unexpected problems.
shifting sands,"refers to something that is constantly changing, often making a person feel uncertain."
so and so,"used in the place of someone's name, indicating that the person is of little importance."
so so,average - neither bad and nor good.
all the rage,when something is the height of popularity.
earworm,a situation when a song that comes to your mind again and again.
lose it,go insane or crazy.
lost on,it means that someone did not understand the remark or joke.
lost to,to be defeated by someone.
take over,to take control of something - often by force.
"Mr Right, Ms Right",the best future life partner for someone.
meet halfway,to reach a compromise.
ups and downs,good times and bad times.
take care,be careful.
larger than life,something or someone that is very impressive.
take on,someone's take on something is their opinion on a matter.
in stitches,to laugh so hard that you are not able to control yourself.
red herring,something irrelevant that distracts you from something important.
knight in shining armour,used to describe someone who saves you from a difficult situation.
pot calling the kettle black,criticizing someone for a fault that you have too.
heart and soul,with all the effort you can put into it.
miles to go before I sleep,you have a lot to do before you can rest.
fat chance,when there is little or no chance of something happening.
point out,to identify something within a group.
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty.
you can't teach an old dog new tricks,you cannot make others change their habits.
the best is yet to come,whatever is happening now will be surpassed by something better in the future.
give a shot,to have a try at something.
take turns,to alternate doing something.
high roller,"a wealthy person or company who spends their money in a risky way, often by making risky investments that can offer large rewards."
cut the crap,a very crude way of telling someone to stop doing something that you do not like.
wind up,to be annoyed by someone.
up to the mark,to be good enough.
hang up,to disconnect a phone call. it is often used when someone does not want to continue a conversation.
in a row,to happen a couple of consecutive times without break.
and so on,and related stuff.
black hole,a place in which things are lost never to be seen again.
see the light,realise or understand something.
spanner in the works,a roadblock that prevents an activity from succeeding.
of course,with absolute certainty.
warm-hearted,to be kind and loving.
hold tongue,to keep quiet when one would rather speak.
catnap,"a short sleep, usually during the day."
pardon me,it is a way of apologising for something that has been said or done.
sea change,to have a big change in perspective.
figure out,to solve something by using reasoning.
eat crow,being proven wrong after taking a strong stand.
on a silver platter,to get something without having to work for it.
fit of anger,"to display a very bad temper, often by screaming a lot."
zip past,to move past (someone or something) very fast.
zero-sum game,to be in a situation where the outcomes can either be to win or to lose.
a voice crying in the wilderness,to say something that is not popular.
at the drop of a dime,something that can happen very fast without hesitation.
time after time,to repeat something.
roll the dice,to gamble or take a chance on something or someone.
sitting duck,to be an easy target.
throw the baby out with the bathwater,to remove something good in the bid of getting rid of something bad.
skating on thin ice,to do something considered quite dangerous or risky.
playing second fiddle,to play a secondary or minor role with regards to someone else.
mend fences,to try and improve a bad relationship with another party.
cry me a river,usually used sarcastically to someone who is constantly complaining.
eat words,to take back what was said.
time will tell,something that will not be proven until a later date.
on the other hand,from a different point of view.
silence is golden,it is often better to say nothing at all.
paint the town red,to celebrate and have a wild time.
end of the day,to look at all the possibilities and then to make a final decision.
fall out,to disagree with someone about something.
in touch,keep in touch.
eager beaver,someone who is very eager to perform tasks and is always offering to do more.
come over,to go to someone else's house.
run out,to not have enough of something.
count on,it means that you are able to depend on somebody or something.
a sight for sore eyes,a way of saying that you are happy to see someone.
weak in the knees,"to be overcome by a strong feeling, usually desire."
never mind,to urge somebody not to worry about something.
say what,used when asking someone to repeat what they have said.
point blank,to fire something at such close range that it cannot be missed.
cheat sheet,a cheat sheet is a sheet containing information.
in a huff,to be upset or angry about something.
give up,to stop trying to figure something out.
all the best,a polite way to end a letter or email.
pain in the neck,pain in the ass.
learning curve,the rate of learning new skills.
as simple as that,extremely easy to understand or comprehend.
take stock,to think carefully about a situation in order to make a decision.
all day long,"the whole day, throughout the entire day."
carry on,to continue with something.
slow day,"a day in which not much happens, so it feels like it is taking very long to pass."
head start,to start ahead of the official start of an event.
speak up,raise your voice.
break open,"to cause something to open suddenly, especially from within."
hang on,hold on or hold tightly.
what are you up to,"another way to ask someone, what are you doing?."
at the same time,used to refer to two or more things occurring together.
none of your business,used to tell someone not to get involved in whatever you have going on.
high up,to have an important standing in society.
all set,to refer a state of being ready for an event.
pass away,die.
stay up,not go to sleep.
go after,to catch up to someone after they have gone.
drive crazy,to disturb or irritate someone.
speak too soon,to say something with the belief that it will be right and then it is later found out to be untrue.
a burnt child dreads the fire,everyone avoids repeating a hurting experience again in life.
blowing smoke,blows smoke in your face.
heart goes out to,to feel sympathy for someone when they are distressed.
high time,to refer to something that is already overdue but must be started immediately.
treasure trove,a priceless or valuable discovery.
finishing touch,something that is added to ensure that something else is made complete.
necessary evil,something unpleasant that must be done in order to achieve a goal or objective.
shades of grey,refers to a situation where things are not really clear.
as different as chalk and cheese,for two things to be completely different from each other.
means to an end,a necessary action carried out just to achieve a goal.
line in the sand,a boundary beyond which one cannot proceed without consequences.
full of beans,to be optimistic or enthusiastic.
from pillar to post,to move from one place to another with no purpose and direction.
shed light,to explain something in order to make it easier to understand.
laughter is the best medicine,"means that laughter can help cure negative feelings such as stress, anger, worry, depression, etc."
butter up,to flatter someone so as to get something in return from them.
buck up,to summon the courage to do something.
stiff upper lip,to be brave in the face of adversity.
wet behind the ears,immature or poor skill.
kill the goose that lays the golden egg,to destroy something that is profitable to you mostly because of greed.
in a nutshell,to be brief and straight to the point.
keep your nose clean,to stay out of trouble by not doing anything wrong.
cat got your tongue,used to refer a time when someone has nothing to say.
from now on,used to refer a time in the not so distant future.
head-on,front-to-front.
bite the bullet,to endure a painful experience that you cannot avoid.
in a pickle,to be in a difficult situation.
walk on eggshell,to be careful about one's words or actions around another person.
bun in the oven,to be pregnant.
tight-lipped,unwilling to speak about an event.
apple polisher,a flatterer; toady.
a lot on my plate,too much on my plate.
far-fetched,unlikely to be true.
no man is an island,no one is self-sufficient; everyone relies on others somehow.
bring home the bacon,to go out and earn a living or earn money for the family.
chill to the marrow,to be very cold.
running around like a headless chicken,to carry on in a disorganised manner.
beck and call,being completely available to someone when needed.
at sixes and sevens,used to express a situation of uncertainty or confusion.
the eleventh hour,at the very last minute before an event.
bon appetit,enjoy your meal/food.
back against the wall,to be in a tough situation with limited options.
button your lip,to stop speaking.
break the mould,to do something different from what is expected.
that's the way the cookie crumbles,"no matter how unfair the situation is, it must be accepted."
feel the pinch,experience financial hardship.
keep your hair on,to request someone to stay calm and not get annoyed.
take a hike,go away.
just what the doctor ordered,exactly what the doctor ordered.
blow your own trumpet,to say things that makes your own self or kin look good.
tear-jerking,a story that is purposefully sentimental.
spine-tingling,to be very horrific.
has-been,to have had a wonderful past but no present or future in the field.
page-turner,a thrilling book.
household name,to be very popular.
the last thing I want,i don't want.
do justice to,to speak of or otherwise show a person or thing in its true light.
head and shoulders above,significantly better than everybody else in the field.
bang head against wall,bang head against a brick wall.
memory like a sieve,poor memory.
like father like son,the man/boy being talked about is very much like/exactly like his father .
if it's the last thing I do,indicates determination to achieve something.
not the sharpest tool in the shed,"someone who is not very clever, according to others."
a trip to the sun,something which is very unlikely.
touch off,to ignite a thought.
eat like a horse,to eat a lot.
time flies,for a particular phase in life to seem shorter than it really was.
in the cross hairs,in a position where one might receive severe criticism.
pay the piper,to bear the ill-effects of something that was enjoyable at one time.
rub the wrong way,to tick someone off.
you can't make an omelette without breaking a few eggs,to have to go through something seemingly not nice for a good result.
forbidden fruit is always the sweetest,to desire something that is not within a feasible reach.
"out of sight, out of mind",to not stay an active issue when something is not immediately visible.
ignorance is bliss,to not get affected by something that is not known.
"if you scratch my back, I'll scratch yours",to return a favour for a favour.
no news is good news,"to assume that since there is no news, it will not be bad news."
tip of the iceberg,to only know a very small part of the problem.
hands are tied,to not be able to do anything about a situation.
money doesn't grow on trees,to have to put an effort in earning money.
learn to walk before you run,to take smaller steps initially.
"if it ain't broke, don't fix it",to not try to mend things that do not require it.
still waters run deep,to have passion or furore underneath a calm expression.
first things first,to have a priority order.
it's better to be safe than sorry,being careful may keep away unpleasant situation.
look before you leap,to make sure that everything is alright before doing something important which you cannot revert.
"where there's a will, there's a way",willpower will defeat any difficulty.
many hands make light work,to come together for a cause.
strike while the iron is hot,to take advantage of a situation.
too many cooks spoil the broth,to mean that something does not go well when there are too many ways to do it.
absence makes the heart grow fonder,to miss and love someone more when they are not around.
honesty is the best policy,being honest is always good and fruitful.
grass is always greener on the other side,to think that other's part is better than mine.
two heads are better than one,to have more than one participant in an activity to make it better.
familiarity breeds contempt,to start disliking something when one gets to know too much about it.
there's no time like the present,right now is the best time.
all good things must come to an end,"everything that is deemed nice, ends."
beggars can't be choosers,do not ask more or customize what you get when you have got it after asking for it.
a watched pot never boils,if you wait for something to happen it takes longer.
God helps those who help themselves,to be able to come out of a bad situation by self-help rather than hoping for divine intervention.
never look a gift horse in the mouth,it is an advice to be grateful for gifts.
the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals.
discretion is the greater part of valour,to be quiet about it after helping someone out.
there's no place like home,to have an affinity for one's home over every other place.
there's no such thing as a free lunch,to be aware of something that seems free of cost but may have a charge levied in another form.
birds of a feather flock together,to form groups with people with similar interests and tastes.
keep your friends close and your enemies closer,to keep a keen eye on enemies beyond what one might have on their friends.
"hope for the best, but prepare for the worst",be optimistic but ready for hard times as well.
fortune favours the bold,it refers to people who face problems with determination and courage are the ones who attain massive levels of success.
follow by,"to continue with something else, usually on the agenda."
run for cover,to seek shelter.
"when the going gets tough, the tough get going",to become tougher than the situation in order to be able to overcome it.
the squeaky wheel gets the grease,"to get something fixed, it is required to make a noise to get attention."
the pen is mightier than the sword,the power of mass appeal is stronger than the force used against it.
"when in Rome, do as the Romans",to copy popular culture in order to blend in.
status quo,the existing condition.
cold hearted,"very cruel, unkind person."
breakout,to escape from somewhere violently.
being in love,to have strong feelings of love for someone.
a cut above,noticeably greater to.
in the meantime,simultaneously.
turning point,the point after which things become better.
batten down the hatches,to get ready for trouble.
old habits die hard,difficult to discontinue of an aged habit.
stack the deck,to be against someone or something.
beef up,to become big and muscular.
learn the ropes,to learn the tricks in order to do something well.
from time to time,every now and then.
two wrongs don't make a right,the fact that responding to a negative situation in the same manner will not make things better in any sense.
come down with,to have (usually a disease).
run a tight ship,to be strict about something.
heads up,to inform about something beforehand.
get under skin,to be irritating.
pass the torch,to pass on the responsibility.
dream come true,fulfilment of a wish after a long time.
a needle in a haystack,something very small amidst something very big.
black and blue,"hurt, either bodily, emotionally or psychologically."
faint of heart,to not be strong enough to handle a situation.
fall between the cracks,slip through the cracks.
black out,to be in a semi unconscious state so as to not have any memory of a particular moment.
"love me, love my dog",to accept someone unconditionally.
dead as a dodo,no longer alive or existing.
strive to do,to try very hard to achieve.
none of your lip,to ask someone to stop speaking.
time and again,to be repeated very often.
comb through,to check thoroughly.
chill to the bone,to get frightened or scare somebody.
zoom away | zoom off,to be in a hurry.
suited and booted,formally dressed; well dressed.
prick up ears,to start paying attention.
pipe down,to take to one or more notches down to its current standard.
a house of cards,something that can easily be broken or crumble by itself.
pull the plug,to kill or discontinue.
practice makes perfect,to keep repeating something over and over so that one can get good at that activity.
put a sock in it,to ask someone to stop talking.
